ID,Sample Name,Abs. (254.0nm),
1,15:28,0.0487,
2,15:30,0.0410,
3,15:32,0.0426,
4,15:34,0.0328,
5,15:36,0.0412,
6,15:38,0.0347,
7,15:40,0.0414,
8,15:42,0.0346,
9,15:44,0.0342,
10,15:46,0.0349,
11,15:48,0.0395,
12,15:50,0.0349,
13,15:52,0.0401,
14,15:54,0.0482,
15,15:56,0.0464,
16,15:58,0.0363,
17,16:00,0.0348,
18,16:02,0.0342,
19,16:04,0.0324,
20,16:06,0.0344,
