Day fraction since midnight on 	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.5983041181	1.9600106478	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5983619899	1.9600106478	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5984198618	1.9600106478	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5984777220	1.9122759104	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5985355939	1.9122759104	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5985934657	1.9122759104	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5986513375	1.6877096891	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5987092209	1.6877096891	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5987670927	1.6877096891	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5988249646	1.6463273764	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5988828249	1.6463273764	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5989407082	1.6463273764	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5989985685	1.6074371338	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5990564288	1.6074371338	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5991143006	1.6074371338	0.7094884515	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5991721724	1.6012067795	0.6838312149	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5992300558	1.6012067795	0.6838312149	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5992879161	1.6012067795	0.6838312149	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5993457879	1.6105099916	0.7851995826	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5994036597	1.6105099916	0.7851995826	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5994615316	1.6105099916	0.7851995826	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5995193918	1.5774064064	0.8298580050	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5995772637	1.5774064064	0.8298580050	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5996351355	1.5774064064	0.8298580050	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5996930073	1.6137716770	0.8065699339	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5997508907	1.6137716770	0.8065699339	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5998087625	1.6137716770	0.8065699339	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5998666228	1.6857572794	0.6452054977	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5999244831	1.6857572794	0.6452054977	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.5999823549	1.6857572794	0.6452054977	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6000402383	1.7164615393	0.5653396249	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6000980986	1.7164615393	0.5653396249	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6001559820	1.7164615393	0.5653396249	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6002138422	1.6660436392	0.6737739444	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6002717141	1.6660436392	0.6737739444	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6003295974	1.6660436392	0.6737739444	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6003874461	1.6177262068	0.7072167993	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6004453180	1.6177262068	0.7072167993	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6005032014	1.6177262068	0.7072167993	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6005610616	1.6625623703	0.6366482973	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6006189450	1.6625623703	0.6366482973	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6006768053	1.6625623703	0.6366482973	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6007346887	1.6993564367	0.6066248417	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6007925490	1.6993564367	0.6066248417	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6008504439	1.6993564367	0.6066248417	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6009082810	1.7173877954	0.6335305572	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6009661760	1.7173877954	0.6335305572	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6010240247	1.7173877954	0.6335305572	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6010819081	1.6281108856	0.5513939261	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6011397684	1.6281108856	0.5513939261	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6011976518	1.6281108856	0.5513939261	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6012555120	1.6893733740	0.7085316777	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6013133954	1.6893733740	0.7085316777	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6013712557	1.6893733740	0.7085316777	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6014291159	1.8124226332	0.6635448933	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6014869993	1.8124226332	0.6635448933	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6015448596	1.8124226332	0.6635448933	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6016027430	3.0991146564	5.0356745720	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6016606033	3.0991146564	5.0356745720	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6017184751	3.0991146564	5.0356745720	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6017763585	7.5142621994	4.7253026962	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6018342188	7.5142621994	4.7253026962	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6018920906	7.5142621994	4.7253026962	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6019499508	9.7800693512	4.7253026962	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6020078227	9.7674064636	3.2230966091	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6020657061	9.7674064636	3.2230966091	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6021235663	9.7674064636	3.2230966091	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6021814382	9.4878425598	2.8993215561	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6022393100	9.4878425598	2.8993215561	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6022971818	9.4878425598	2.8993215561	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6023550421	8.4063835144	2.6966235638	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6024129139	8.4063835144	2.6966235638	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6024707858	8.4063835144	2.6966235638	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6025286691	8.1952161789	3.4799695015	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6025865294	8.1952161789	3.4799695015	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6026444128	8.1952161789	3.4799695015	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6027022731	7.2874517441	3.4799695015	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6027601565	7.2075548172	2.6197042465	34.2582857143	0.3513294798	1.4060115607	0.7030057803
0.6028180052	7.2075548172	2.6197042465	34.2582857143	0.3513294798	1.4060115607	0.7030057803
