Day fraction since midnight on 	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.6082028259	3.9997665882	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6082606860	3.9880425930	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6083185725	3.9880425930	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6083764326	3.9880425930	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6084343161	4.2882552147	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6084921788	4.8119430542	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6085500391	4.8119430542	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6086079224	4.8119430542	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6086657823	5.8020768166	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6087236658	5.9632496834	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6087815258	5.9632496834	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6088394091	5.9632496834	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6088972719	6.0690059662	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6089551344	5.9892358780	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6090130177	5.9892358780	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6090708776	5.9892358780	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6091287611	6.0098819733	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6091866212	6.0148587227	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6092444813	6.0148587227	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
0.6093023645	6.0148587227	8.5475711823	34.6080000000	0.3513294798	0.0000000000	10.5433526012
