Day fraction since midnight on 	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.4065428015	1.9048537016	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4066006889	1.8836966753	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4066585561	1.8836966753	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4067164276	1.8432043791	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4067743153	1.8403185606	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4068322051	1.8071726561	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4068900465	1.8046156168	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4069479342	1.7889345884	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4070057987	1.7798243761	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4070636864	1.7759290934	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4071215507	1.7715464830	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4071794385	1.7329782248	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4072373031	1.7176622152	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4072951906	1.7125186920	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4073530551	1.7241319418	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4074109273	1.7156461477	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4074688148	1.7094565630	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4075266795	1.7031172514	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4075845472	1.6947180033	0.4595755637	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4076424394	1.6947180033	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4077003075	1.7043054104	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4077581743	1.6896669865	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4078160408	1.6920686960	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4078739307	1.6633278131	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4079318003	1.6542588472	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4079896649	1.6542669535	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4080475525	1.6457653046	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4081054286	1.6451839209	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4081632994	1.6340978146	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4082211639	1.6334985495	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4082790552	1.6305606365	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4083369220	1.6419216394	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4083947946	1.6334476471	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4084526825	1.6120163202	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4085105470	1.6140252352	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4085684141	1.6244853735	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4086263007	1.6264917850	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4086841608	1.6253145933	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4087420443	1.6253145933	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4087999277	1.6401808262	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4088577648	1.6401808262	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4089156482	1.6667963266	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4089735084	1.6667963266	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4090313916	1.6716122627	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4090892520	1.6716122627	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4091471354	1.6714254618	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4092050188	1.6714254618	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4092628631	1.6575042009	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4093207464	1.6575042009	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4093786089	1.6530221701	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4094364766	1.6530221701	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4094943602	1.6298238039	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4095522204	1.6298238039	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4096100842	1.6107798815	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4096679495	1.6107798815	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4097258329	1.5870026350	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4097836931	1.5870026350	0.5282312632	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4098415784	1.5464332104	1.3241783381	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4098994412	1.5464332104	1.3241783381	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4099573036	1.5062348843	1.3241783381	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4100151872	1.5062348843	1.3241783381	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4100730474	1.4766010046	1.3241783381	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4101309308	1.4766010046	1.3241783381	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4101887909	1.4306814671	1.3241783381	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4102466744	1.4306814671	1.3241783381	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4103045578	1.4064314365	1.3241783381	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4103623947	1.4064314365	1.3241783381	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4104202783	1.4064314365	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4104781617	1.3900463581	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4105360219	1.3700538874	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4105938910	1.3548629284	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4106517508	1.3302139044	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4107096344	1.3280715942	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4107674946	1.3036980629	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4108253780	1.2927317619	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4108832381	1.2741787434	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4109410985	1.2741787434	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4109989831	1.2416931391	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4110568434	1.2416931391	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4111147306	1.2223496437	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4111725931	1.2223496437	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4112304533	1.2171750069	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4112883198	1.2171750069	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4113462056	1.1926814318	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4114040700	1.1926814318	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4114619334	1.1797753572	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4115198197	1.1797753572	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4115776801	1.1729040146	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4116355429	1.1729040146	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
0.4116934263	1.1650748253	1.1778148413	34.2720000000	0.2811676301	1.4060115607	0.7030057803
