Day fraction since midnight on 	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.5632878544	0.5538303852	0.3518971205	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.5633457204	0.5521467924	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5634035874	0.5521467924	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5634614477	0.5521467924	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5635193337	0.5621457100	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5635772171	0.5621457100	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5636350543	0.5674376488	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5636929377	0.5674376488	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5637507978	0.5674376488	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5638086814	0.5832388401	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5638665417	0.5916166306	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5639244249	0.5916166306	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5639822852	0.5916166306	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5640401686	0.7804450989	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5640980291	0.7728220224	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5641559124	0.7728220224	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5642137728	0.7728220224	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5642716331	0.7956801653	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5643295165	0.8236228228	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5643873768	0.8236228228	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5644452602	0.8236228228	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5645031205	1.1282119751	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5645609807	1.2724823952	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5646188639	1.2724823952	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5646767244	1.2724823952	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5647346078	1.8697723150	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5647924913	2.1125011444	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5648503515	2.1125011444	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5649082118	2.1125011444	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5649660950	3.1559584141	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5650239553	3.5472757816	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5650818156	3.5472757816	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5651396992	3.5472757816	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5651975596	4.7951021194	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5652554429	5.1631536484	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5653133032	5.1631536484	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5653711866	5.1631536484	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5654290700	5.9945693016	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5654869070	6.2085480690	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5655447906	6.2085480690	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5656026507	6.2085480690	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5656605391	6.8708348274	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5657183993	7.0361285210	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5657762597	7.0361285210	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5658341431	7.0361285210	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5658920034	7.5117411613	0.3518971205	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5659498868	7.5117411613	3.3239862919	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5660077471	7.5117411613	3.3239862919	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5660656303	7.5117411613	3.3239862919	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5661235137	7.5117411613	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5661813510	7.5117411613	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5662392345	8.6178703308	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5662970945	8.6178703308	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5663549782	8.6178703308	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5664128385	9.0284280777	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5664707219	9.4647436142	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5665285821	9.4647436142	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5665864656	9.4647436142	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5666443288	9.9586286545	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5667021891	10.0139522552	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5667600745	10.0139522552	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5668179347	10.0139522552	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5668757950	9.6394071579	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5669336787	9.3398199081	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5669915445	9.3398199081	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5670494305	9.3398199081	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5671072933	8.8828954697	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5671651791	8.7250928879	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
0.5672230419	8.7250928879	4.7709174156	34.1897142857	0.5271676301	0.0000000000	10.5433526012
