Day fraction since midnight on 	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.4653084023	8.9467992783	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4653662626	8.9467992783	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4654241478	8.9467992783	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4654820081	9.2424974442	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4655398685	9.2424974442	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4655977519	9.2424974442	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4656556122	8.3168106079	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4657134958	8.3168106079	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4657713561	8.3168106079	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4658292396	7.0333929062	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4658870999	7.0333929062	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4659449833	7.0333929062	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4660028436	6.0088605881	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4660607039	6.0088605881	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4661185757	6.0088605881	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4661764592	5.3907804489	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4662343194	5.3907804489	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4662922029	5.3907804489	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4663500630	4.5872659683	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4664079467	4.5872659683	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4664658070	4.5872659683	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4665236673	4.3825364113	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4665815505	4.3825364113	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4666394110	4.3825364113	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4666972944	3.5895667076	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4667551547	3.5895667076	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4668130382	3.5895667076	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4668708985	3.2829847336	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4669287588	3.2829847336	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4669866422	3.2829847336	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4670445025	3.5355157852	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4671023860	3.5355157852	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4671602463	3.5355157852	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4672181297	3.3483927250	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4672759900	3.3483927250	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4673338732	3.3483927250	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4673917567	3.0072431564	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4674495938	3.0072431564	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4675074775	3.0072431564	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4675653378	3.0664024353	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4676232239	3.0664024353	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4676810762	3.0664024353	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4677389596	2.5488574505	0.5020483136	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4677968245	2.5488574505	7.6806712151	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4678547079	2.5488574505	7.6806712151	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4679125682	2.3891694546	7.6806712151	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4679704285	2.3891694546	5.5975089073	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4680283120	2.3891694546	5.5975089073	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4680861723	2.5037329197	5.5975089073	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4681440557	2.5037329197	7.3422574997	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4682019162	2.5037329197	7.3422574997	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4682597994	2.3097512722	7.3422574997	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4683176597	2.3097512722	4.9536981583	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4683755434	2.3097512722	4.9536981583	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4684334037	2.1593303680	4.9536981583	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4684912638	2.1593303680	9.2774915695	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4685491474	2.1593303680	9.2774915695	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4686070075	1.9242278337	9.2774915695	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4686648909	2.1401491165	14.3590621948	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4687227512	2.1401491165	14.3590621948	34.2582857143	0.5271676301	1.4060115607	0.7030057803
0.4687806136	2.1401491165	14.3590621948	34.2582857143	0.5271676301	1.4060115607	0.7030057803
