Day fraction since midnight on 	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.7244681173	1.8877283335	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7245259908	1.8877283335	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7245838875	1.7188888788	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7246417494	1.7188888788	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7246996345	1.6418191195	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7247575312	1.6418191195	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7248154047	1.5757510662	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7248732898	1.5757510662	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7249311749	1.5363048315	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7249890716	1.5363048315	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7250469451	1.7048045397	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7251048417	1.7048045397	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7251627037	1.6283391714	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7252206004	1.6283391714	2.3785755634	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7252784739	1.5926867723	2.3004002571	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7253363590	1.5926867723	2.3004002571	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7253942441	1.6450521946	2.3004002571	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7254521407	2.3921577930	2.3004002571	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7255100258	2.9377243519	2.3004002571	342.9942857143	0.1406011561	1.4060115607	0.7030057803
0.7255678994	3.9922258854	2.3004002571	342.9942857143	0.1406011561	1.4060115607	0.7030057803
