Day fraction since midnight on 	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.6405280626	5.6144776344	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6405859460	5.5621924400	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6406438062	5.3318758011	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6407016896	5.2450299263	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6407595499	5.2132434845	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6408174129	5.2091469765	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6408752965	5.0723004341	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6409331568	5.0668368340	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6409910401	5.0042133331	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6410489003	4.9721832275	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6411067838	4.8537197113	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6411646440	4.8309230804	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6412225272	4.6835432053	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6412803876	4.6382102966	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6413382479	4.5655145645	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6413961313	4.4954161644	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6414539915	4.4111304283	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6415118749	4.4070787430	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6415697583	4.4018778801	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6416276185	4.3873476982	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6416855019	4.4155397415	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6417433390	4.4013252258	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6418012224	4.3247585297	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6418590825	4.3079166412	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6419169660	4.3510060310	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6419748276	4.3994889259	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6420327110	4.2302556038	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6420905712	4.2302556038	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6421484315	4.1804823875	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6422063150	4.1804823875	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6422641751	4.1585388184	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6423220584	4.1585388184	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6423799187	4.2506170273	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6424378021	4.2506170273	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6424956624	4.2241854668	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6425535243	4.2241854668	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6426114077	4.1083989143	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6426692706	4.1083989143	0.7258307338	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6427271540	4.0954961777	0.6861172318	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6427850142	4.0954961777	0.6861172318	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6428428974	4.0125789642	0.6199209690	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6429007604	4.0125789642	0.6199209690	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6429586207	3.9458611012	0.6199209690	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6430165043	3.9458611012	0.6199209690	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6430743670	3.9533779621	0.6199209690	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6431322585	3.9533779621	0.6199209690	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6431901269	3.8919646740	0.6199209690	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6432479952	3.8919646740	0.6199209690	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6433058865	3.9262411594	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6433637551	3.9262411594	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6434216465	3.9176304340	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6434795147	3.9176304340	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6435374064	3.8894989491	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6435952747	3.8894989491	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6436531662	3.8618643284	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6437110344	3.8618643284	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6437689029	3.8374779224	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6438267944	3.8374779224	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6438846628	3.7879579067	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6439425542	3.7879579067	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6440004226	3.7641255856	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6440583141	3.7641255856	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6441161824	3.7225329876	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6441740739	3.7225329876	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6442319423	3.7014768124	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6442898106	3.7014768124	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6443477055	3.6382875443	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6444055740	3.5794093609	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6444634436	3.5401499271	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6445213351	3.4187107086	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6445792037	3.3749444485	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6446370949	3.3133337498	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6446949633	3.3356206417	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6447528550	3.2505047321	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6448107231	3.2661185265	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6448685941	3.1910138130	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6449264856	3.1832778454	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6449843540	3.1506717205	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6450422455	3.1166563034	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6451001156	3.0381813049	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6451580069	3.0278759003	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6452158786	3.0861222744	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6452737469	3.0860607624	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6453316383	3.0057296753	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6453895094	2.9647402763	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6454474009	2.9320187569	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6455052693	2.9353981018	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6455631376	2.9156258106	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6456210319	2.9160506725	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6456789002	2.8630437851	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6457367915	2.8372635841	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6457946600	2.7710516453	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6458525284	2.7373645306	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6459104199	2.6715517044	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6459682880	2.6735744476	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6460261830	2.6391813755	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6460840513	2.6202061176	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6461419428	2.5633509159	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6461998134	2.5344088078	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6462576818	2.4746844769	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6463155733	2.4493505955	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6463734416	2.4688174725	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6464313320	2.4511361122	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6464891958	2.4219801426	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6465470564	2.4382932186	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
0.6466049401	2.3792936802	0.6257553697	34.3405714286	0.2811676301	1.4060115607	0.3513294798
