ID;Sample Name;Abs. (254.0nm)
1;15.00;0.0919
2;30.00;0.1288
3;45.00;0.1227
4;60.00;0.1227
5;85.00;0.1222
6;100.00;0.1027
7;115.00;0.1022
8;130.00;0.1067
9;145.00;0.0836
10;160.00;0.0938
11;175.00;0.108
12;200.00;0.1036
