Day fraction since midnight on 	Time (seconds)	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.727940881	2623	1.130018592	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.72799877	2666	1.099732161	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728056636	2709	1.08332324	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728114513	2752	1.069839358	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728172402	2795	1.057565093	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728230268	2838	1.033243537	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728288145	2881	1.027013898	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728346011	2924	1.022366405	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.7284039	2967	1.023462296	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728461765	3010	1.031260371	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728519666	3053	1.038845897	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.72857752	3096	1.043346405	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728635409	3139	1.056994796	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728693286	3182	1.065222144	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728751164	3225	1.084529281	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728809018	3268	1.08641386	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728866895	3311	1.084540844	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.728924772	3354	1.034528732	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.72898265	3397	1.015467882	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729040527	3440	0.94422996	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729098416	3483	0.925538182	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729156282	3526	0.905211449	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729214159	3569	0.876156569	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729272025	3612	0.838213086	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729329902	3655	0.845299482	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.72938778	3698	0.860597134	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729445657	3741	0.989232421	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729503534	3784	0.990223289	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729561412	3827	0.956163764	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729619287	3870	0.937749744	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729677163	3913	0.913980842	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729735052	3956	0.83790791	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729792906	3999	0.83790791	2.444937468	342.9942857	0.140601156	1.406011561	0.70300578
0.729850784	4042	0.80865562	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.729908673	4085	0.80865562	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.729966539	4128	0.840867162	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730024416	4171	0.840867162	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730082294	4214	0.799590945	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730140171	4257	0.799590945	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730198049	4300	0.806952715	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730255926	4343	0.806952715	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730313792	4386	0.764851093	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.73037167	4429	0.764851093	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730429559	4472	0.77236104	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730487436	4515	0.77236104	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730545302	4558	0.758224368	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730603191	4601	0.758224368	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730661057	4644	0.748780727	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730718934	4687	0.748780727	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.7307768	4730	0.747694492	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730834678	4773	0.747694492	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730892555	4816	0.736751437	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.730950433	4859	0.736751437	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.73100831	4902	0.759469509	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.731066188	4945	0.759469509	2.631749392	342.9942857	0.140601156	1.406011561	0.70300578
0.731124065	4988	0.762040615	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731181954	5031	0.762040615	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731239809	5074	0.828659535	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731297686	5117	0.828659535	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731355564	5160	0.880794764	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731413453	5203	0.880794764	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.73147133	5246	0.937143922	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731529196	5289	0.937143922	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731587074	5332	0.995345712	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731644951	5375	0.995345712	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731702852	5418	0.999302745	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731760694	5461	0.999302745	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731818572	5504	1.008543372	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731876461	5547	1.008543372	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731934327	5590	1.027935624	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.731992216	5633	1.027935624	2.952394486	342.9942857	0.140601156	1.406011561	0.70300578
0.732050082	5676	1.026028633	3.018551827	342.9942857	0.140601156	1.406011561	0.70300578
0.732107959	5719	1.026028633	3.018551827	342.9942857	0.140601156	1.406011561	0.70300578
0.732165837	5762	1.024803758	3.018551827	342.9942857	0.140601156	1.406011561	0.70300578
0.732223714	5805	1.024803758	3.018551827	342.9942857	0.140601156	1.406011561	0.70300578
0.73228158	5848	1.023890257	3.018551827	342.9942857	0.140601156	1.406011561	0.70300578
0.732339458	5891	1.023890257	3.018551827	342.9942857	0.140601156	1.406011561	0.70300578
0.732397335	5934	1.005491614	3.09173131	342.9942857	0.140601156	1.406011561	0.70300578
0.732455213	5977	1.005491614	3.09173131	342.9942857	0.140601156	1.406011561	0.70300578
0.73251309	6020	0.988484025	3.09173131	342.9942857	0.140601156	1.406011561	0.70300578
0.732570968	6063	0.988484025	3.09173131	342.9942857	0.140601156	1.406011561	0.70300578
0.732628845	6106	1.002800345	3.09173131	342.9942857	0.140601156	1.406011561	0.70300578
0.732686734	6149	1.002800345	3.09173131	342.9942857	0.140601156	1.406011561	0.70300578
0.732744588	6192	1.022271633	3.09173131	342.9942857	0.140601156	1.406011561	0.70300578
0.732802466	6235	1.022271633	3.09173131	342.9942857	0.140601156	1.406011561	0.70300578
0.732860343	6278	1.017286778	3.09173131	342.9942857	0.140601156	1.406011561	0.70300578
0.732918232	6321	1.017286778	3.09173131	342.9942857	0.140601156	1.406011561	0.70300578
0.732976098	6364	3.510270834	3.09173131	342.9942857	0.140601156	1.406011561	0.70300578
0.744839788	6407	3.326455116	2.834519863	342.9942857	0.140601156	1.406011561	0.70300578
0.744897672	6450	5.41906929	2.834519863	342.9942857	0.140601156	1.406011561	0.70300578
