ID;Sample Name;Abs. (254.0nm)
1;6.00;0.0937
2;12.00;0.0725
3;18.00;0.1169
4;24.00;0.1681
5;30.00;0.1893
6;36.00;0.1767
7;42.00;0.2032
8;48.00;0.2037
9;54.00;0.2185
10;60.00;0.2045
11;66.00;0.2071
12;72.00;0.2183
13;78.00;0.2139
14;84.00;0.2238
15;90.00;0.2037
16;96.00;0.2112
17;104.00;0.2069
18;110.00;0.2146
19;116.00;0.2304
20;122.00;0.2064
21;128.00;0.2088
22;134.00;0.2194
23;140.00;0.224
24;146.00;0.2305
