Day fraction since midnight on 	Time (seconds)	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.404054281	24	1.624698162	0.585517108	0	0	0	0
0.404112141	48	1.616675019	0.585517108	34.272	0.28116763	1.406011561	0.70300578
0.404170024	72	1.624776363	0.585517108	34.272	0.28116763	1.406011561	0.70300578
0.404227891	96	1.684552074	0.585517108	34.272	0.28116763	1.406011561	0.70300578
0.404285751	120	1.759018302	0.585517108	34.272	0.28116763	1.406011561	0.70300578
0.404343635	144	1.789990783	0.585517108	34.272	0.28116763	1.406011561	0.70300578
0.4044015	168	1.886991382	0.585517108	34.272	0.28116763	1.406011561	0.70300578
0.404459363	192	1.906576276	0.585517108	34.272	0.28116763	1.406011561	0.70300578
0.404517249	216	1.98582828	0.585517108	34.272	0.28116763	1.406011561	0.70300578
0.40457512	240	2.055534601	0.585517108	34.272	0.28116763	1.406011561	0.70300578
0.404632969	264	2.055534601	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.404690843	288	2.225728273	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.404748726	312	2.368249178	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.404806586	336	2.404973745	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.40486447	360	2.538565636	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.40492233	384	2.605018139	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.40498019	408	2.699765205	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405038074	432	2.717652798	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405095934	456	2.772031784	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405153821	480	2.781028032	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405211686	504	2.779696465	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405269577	528	2.771275282	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405327444	552	2.751001835	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405385308	576	2.730689764	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405443201	600	2.664809942	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405501076	624	2.646483183	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405558943	648	2.571664572	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405616807	672	2.560055018	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405674695	696	2.521698952	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405732563	720	2.485504866	0.515763521	34.272	0.28116763	1.406011561	0.70300578
0.405790428	744	2.485504866	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.405848318	768	2.44613719	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.405906185	792	2.340116262	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.405964054	816	2.302833796	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406021942	840	2.225218058	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406079807	864	2.204843044	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406137675	888	2.144200087	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406195563	912	2.128146172	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406253428	936	2.058807612	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406311315	960	2.041204691	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.40636918	984	1.986614108	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406427049	1008	1.970631957	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406484937	1032	1.934711576	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406542802	1056	1.904853702	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406600689	1080	1.883696675	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406658556	1104	1.883696675	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406716428	1128	1.843204379	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406774315	1152	1.840318561	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406832205	1176	1.807172656	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406890047	1200	1.804615617	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.406947934	1224	1.788934588	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.407005799	1248	1.779824376	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.407063686	1272	1.775929093	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.407121551	1296	1.771546483	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.407179439	1320	1.732978225	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.407237303	1344	1.717662215	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.407295191	1368	1.712518692	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.407353055	1392	1.724131942	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.407410927	1416	1.715646148	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.407468815	1440	1.709456563	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.40752668	1464	1.703117251	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.407584547	1488	1.694718003	0.459575564	34.272	0.28116763	1.406011561	0.70300578
0.407642439	1512	1.694718003	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.407700308	1536	1.70430541	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.407758174	1560	1.689666987	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.407816041	1584	1.692068696	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.407873931	1608	1.663327813	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.4079318	1632	1.654258847	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.407989665	1656	1.654266954	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408047553	1680	1.645765305	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408105429	1704	1.645183921	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408163299	1728	1.634097815	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408221164	1752	1.63349855	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408279055	1776	1.630560637	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408336922	1800	1.641921639	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408394795	1824	1.633447647	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408452683	1848	1.61201632	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408510547	1872	1.614025235	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408568414	1896	1.624485374	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408626301	1920	1.626491785	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408684161	1944	1.625314593	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408742044	1968	1.625314593	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408799928	1992	1.640180826	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408857765	2016	1.640180826	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408915648	2040	1.666796327	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.408973508	2064	1.666796327	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.409031392	2088	1.671612263	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.409089252	2112	1.671612263	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.409147135	2136	1.671425462	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.409205019	2160	1.671425462	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.409262863	2184	1.657504201	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.409320746	2208	1.657504201	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.409378609	2232	1.65302217	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.409436477	2256	1.65302217	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.40949436	2280	1.629823804	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.40955222	2304	1.629823804	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.409610084	2328	1.610779882	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.40966795	2352	1.610779882	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.409725833	2376	1.587002635	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.409783693	2400	1.587002635	0.528231263	34.272	0.28116763	1.406011561	0.70300578
0.409841578	2424	1.54643321	1.324178338	34.272	0.28116763	1.406011561	0.70300578
0.409899441	2448	1.54643321	1.324178338	34.272	0.28116763	1.406011561	0.70300578
0.409957304	2472	1.506234884	1.324178338	34.272	0.28116763	1.406011561	0.70300578
0.410015187	2496	1.506234884	1.324178338	34.272	0.28116763	1.406011561	0.70300578
0.410073047	2520	1.476601005	1.324178338	34.272	0.28116763	1.406011561	0.70300578
0.410130931	2544	1.476601005	1.324178338	34.272	0.28116763	1.406011561	0.70300578
0.410188791	2568	1.430681467	1.324178338	34.272	0.28116763	1.406011561	0.70300578
0.410246674	2592	1.430681467	1.324178338	34.272	0.28116763	1.406011561	0.70300578
0.410304558	2616	1.406431437	1.324178338	34.272	0.28116763	1.406011561	0.70300578
0.410362395	2640	1.406431437	1.324178338	34.272	0.28116763	1.406011561	0.70300578
0.410420278	2664	1.406431437	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.410478162	2688	1.390046358	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.410536022	2712	1.370053887	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.410593891	2736	1.354862928	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.410651751	2760	1.330213904	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.410709634	2784	1.328071594	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.410767495	2808	1.303698063	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.410825378	2832	1.292731762	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.410883238	2856	1.274178743	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.410941099	2880	1.274178743	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.410998983	2904	1.241693139	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.411056843	2928	1.241693139	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.411114731	2952	1.222349644	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.411172593	2976	1.222349644	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.411230453	3000	1.217175007	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.41128832	3024	1.217175007	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.411346206	3048	1.192681432	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.41140407	3072	1.192681432	1.177814841	34.272	0.28116763	1.406011561	0.70300578
0.411461933	3096	1.179775357	1.177814841	34.272	0.28116763	1.406011561	0.70300578
